Event	ID	Name			Wwise Object Path	Notes
	193626927	Play_Main_Menu_Theme			\Default Work Unit\Play_Main_Menu_Theme	
	1911082204	Play_Cave_Ambience			\Default Work Unit\Play_Cave_Ambience	
	2075495050	Play_Day_Ambiences			\Default Work Unit\Play_Day_Ambiences	
	2717365404	Play_Courtyard_Loop			\Default Work Unit\Play_Courtyard_Loop	

Audio Bus	ID	Name			Wwise Object Path	Notes
	3803692087	Master Audio Bus			\Default Work Unit\Master Audio Bus	

Auxiliary Bus	ID	Name			Wwise Object Path	Notes
	45551870	Indoor_Room_Verb			\Default Work Unit\Master Audio Bus\Indoor_Room_Verb	

Effect plug-ins	ID	Name	Type				Notes
	2791153688	Hall_Small	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	283805128	Low_Rumble	Y:\Documents\GitHub\tojam2024\tojam2024_WwiseProject\.cache\Windows\SFX\Cave_Ambience\Low_Rumble_FBC78EF0.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiences\Cave_Ambience\Low_Rumble		7591088
	380214655	Courtyard Loop	Y:\Documents\GitHub\tojam2024\tojam2024_WwiseProject\.cache\Windows\SFX\Courtyard Loop_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Courtyard\COURTYARD_MUSIC\Courtyard Loop\Courtyard Loop		3952088
	424278967	WATRDrip_Water Drips_PSE_OS_MUgJC	Y:\Documents\GitHub\tojam2024\tojam2024_WwiseProject\.cache\Windows\SFX\Cave_Ambience\WATRDrip_Water Drips_PSE_OS_MUgJC_FBC78EF0.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiences\Cave_Ambience\WATRDrip_Water Drips_PSE_OS_MUgJC		9744548
	663981064	Moving_Cogs	Y:\Documents\GitHub\tojam2024\tojam2024_WwiseProject\.cache\Windows\SFX\Cave_Ambience\Moving_Cogs_FBC78EF0.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiences\Cave_Ambience\Moving_Cogs		17465100
	772733432	Cave Loop	Y:\Documents\GitHub\tojam2024\tojam2024_WwiseProject\.cache\Windows\SFX\Cave Loop_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Cave\Cave Loop\Cave Loop		6879696
	798657041	Main_Menu_Theme	Y:\Documents\GitHub\tojam2024\tojam2024_WwiseProject\.cache\Windows\SFX\Main_Menu_Theme_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Menu\MENU_MUSIC\Main_Menu_Theme\Main_Menu_Theme		4937240
	800031998	ANMLInsc_Magical Wing Flutter_PSE_OS_jI07r	Y:\Documents\GitHub\tojam2024\tojam2024_WwiseProject\.cache\Windows\SFX\Cave_Ambience\ANMLInsc_Magical Wing Flutter_PSE_OS_jI07r_FBC78EF0.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiences\Cave_Ambience\ANMLInsc_Magical Wing Flutter_PSE_OS_jI07r		7521936
	851645482	Birds	Y:\Documents\GitHub\tojam2024\tojam2024_WwiseProject\.cache\Windows\SFX\Day_Ambiences\Birds_FBC78EF0.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiences\Day_Ambiences\Birds		15552096
	864997062	Heavy_rustles	Y:\Documents\GitHub\tojam2024\tojam2024_WwiseProject\.cache\Windows\SFX\Day_Ambiences\Heavy_rustles_FBC78EF0.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiences\Day_Ambiences\Heavy_rustles		4320096
	973220001	WATRSplsh_Drop Toast into Water_PSE_OS_Ja4BY	Y:\Documents\GitHub\tojam2024\tojam2024_WwiseProject\.cache\Windows\SFX\Cave_Ambience\WATRSplsh_Drop Toast into Water_PSE_OS_Ja4BY_FBC78EF0.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiences\Cave_Ambience\WATRSplsh_Drop Toast into Water_PSE_OS_Ja4BY		2973280
	1002008205	Smaller_Rustles	Y:\Documents\GitHub\tojam2024\tojam2024_WwiseProject\.cache\Windows\SFX\Day_Ambiences\Smaller_Rustles_FBC78EF0.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiences\Day_Ambiences\Smaller_Rustles		5760096
	1021448084	Heavier_wind	Y:\Documents\GitHub\tojam2024\tojam2024_WwiseProject\.cache\Windows\SFX\Day_Ambiences\Heavier_wind_FBC78EF0.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiences\Day_Ambiences\Heavier_wind		7667556
	1042899010	Foliage	Y:\Documents\GitHub\tojam2024\tojam2024_WwiseProject\.cache\Windows\SFX\Day_Ambiences\Foliage_FBC78EF0.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiences\Day_Ambiences\Foliage		4622688
	1048667347	Courtyard Loop with delay effect	Y:\Documents\GitHub\tojam2024\tojam2024_WwiseProject\.cache\Windows\SFX\Courtyard Loop with delay effect_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Courtyard\COURTYARD_MUSIC\Courtyard Loop with delay effect\Courtyard Loop with delay effect		3952088

